plot_no,plot_shp,plot_area,plot_id,biomass_tf,area_ha,lon,lat,AGB,AGB_ha,Name,2010sum,2010mean,2010median,2017count,2017sum,2017mean,2018count,2018sum,2018mean,g0ha2018
1,Plot_1Nobiomass.shp,1.1239350000000001,NoBiomass1,0,1.1239353207014697,-73.12726764519799,19.65227347482099,NA,0,Plot_1Nobiomass,0.116171727888286,0.006114301467805,0.003553237067536,19,0.096335427951999,0.005070285681684,19,0.021910016221227,0.001153158748486,0.019494018755058375
2,Plot2No_biomass.shp,1.072981,NoBiomass2,0,1.0729808980893139,-72.99539759443623,19.618382407349785,NA,0,Plot2No_biomass,0.028866269858554,0.001519277360977,0.001521609490737,19,0.03049145929981,0.001604813647358,19,0.005444822920254,2.86569627382e-4,0.005074482621218834
3,Plot3No_biomass.shp,1.023887,NoBiomass3,0,1.0238873628870888,-72.61405434692237,19.43083900443436,NA,0,Plot3No_biomass,0.027693702199031,0.001538539011057,0.001566573453601,18,0.03174797113752,0.001763776174307,18,0.027532249398064,0.001529569411004,0.026889920118195826
4,Plot4No_biomass.shp,1.027183,NoBiomass4,0,1.0271834098345307,-72.89981449122683,19.555676314260275,NA,0,Plot4No_biomass,0.028176776308101,0.001565376461561,0.001549475477077,18,0.030557956924895,0.001697664273605,18,0.008880922483513,4.93384582417e-4,0.008645897508161303
5,Plot5No_biomass.shp,1.0124520000000001,NoBiomass5,0,1.0124517341769579,-73.02094582391346,19.61743170597715,NA,0,Plot5No_biomass,0.028797556878999,0.001599864271055,0.001732824835926,18,0.012160521204351,6.75584511353e-4,18,0.01262178903562,7.01210501979e-4,0.012466558759841033
6,Plot6No_biomass.shp,0.932226,NoBiomass6,0,0.9322260502829198,-72.62106590618131,19.452013220789038,NA,0,Plot6No_biomass,0.11683396610897,0.007788931073931,0.005214352160692,15,0.122639274923131,0.008175951661542,15,0.027825754892547,0.00185505032617,0.02984872058027364
7,Plot7No_biomass.shp,1.170944,NoBiomass7,0,1.17094358307767,-72.27385537264763,19.305927460195228,NA,0,Plot7No_biomass,0.197053410112858,0.009852670505643,0.009788429830223,20,0.06780797149986,0.003390398574993,20,0.344423603266478,0.017221180163324,0.29414192813731144
8,Plot8No_biomass.shp,0.522302,NoBiomass8,0,0.5223024448820822,-72.27715659374603,19.31029524556813,NA,0,Plot8No_biomass,0.093679806683213,0.010408867409246,0.01053746137768,9,0.039927270729095,0.004436363414344,9,0.143293766304851,0.015921529589428,0.27435017336976425
9,Augier.shp,2.503314,Augier,1,2.5033137896083484,-72.71282601567007,18.950735426664714,174.82694081790552,69.83820468038797,Augier,2.16873042378575,0.051636438661565,0.046169137582183,42,1.55721337907016,0.03707650902548,42,2.28278249502182,0.054351964167186,0.9119042544718171
10,Plot_1BO.shp,0.757182,1BO,1,0.757181793773023,-73.3304615852657,19.675004056802557,40.5290111305915,53.52613000457417,Bombardopolis1,0.419284855946898,0.032252681226684,0.029912102967501,13,0.257884456310421,0.019837265870032,13,0.536655217409134,0.041281170569933,0.7087534616158571
11,Plot_2BO.shp,0.355794,2BO,1,0.355794360319707,-73.35978189135926,19.68597196502302,11.010340004778419,30.945796877962962,Bombardopolis2,0.339382903650403,0.0424228629563,0.033331040292978,8,0.123453886248171,0.015431735781021,8,0.114300961606205,0.014287620200776001,0.32125568686220124
12,1Cuyo.shp,0.9041629999999999,1cuyo,1,0.904163164141371,-72.6904959024102,18.963782072958395,56.596800734325335,62.595782463745785,1cuyo,0.382164244540036,0.023885265283752,0.015030831098557,16,0.848258532583714,0.053016158286482,16,0.968734068796039,0.060545879299752,1.071415102069533
13,2_cuyo.shp,1.061428,2_cuyo,1,1.0614281425271326,-72.70093629078653,18.958341971521282,85.22319097035648,80.29106027606385,2cuyo2,0.731784020550549,0.036589201027527,0.037067258730531,20,1.087392648682,0.0543696324341,20,1.1347954813391,0.056739774066955,1.0691213430965647
14,Decameron.shp,0.545582,Decameron,1,0.5455818163120688,-72.72349044088512,18.95753233972011,37.60795615045927,68.93183575045653,Decameron,0.496191656216979,0.055132406246331,0.058381140232086,9,0.437854578718543,0.048650508746505,9,0.456398036330938,0.05071089292566,0.836534544747147
15,Deluge_.shp,2.0024740000000003,Deluge,1,2.002474007532567,-72.717323423668,18.971487925042155,62.40243167039848,31.162667498136607,Deluge,1.84629347920418,0.052751242262977,0.052547696977854,35,2.4422386623919,0.069778247496911,35,1.99632364138961,0.057037818325417,0.9969286162417981
16,2Delugert.shp,0.797335,Deluger2,1,0.797335054089227,-72.72807975903955,18.966522324212537,90.35296578192094,113.31869246000798,2Deluger,0.416352006606758,0.02973942904334,0.031297700479627,14,0.448018472990952,0.032001319499354,14,0.556942524388433,0.039781608884888,0.6985050030499568
17,3Deluger.shp,0.701758,Deluger3,1,0.70175814747026,-72.72310015922753,18.964322217637815,12.513295891209491,17.831351066344116,3Deluger,0.571373056620359,0.043951773586181,0.037352982908487,13,0.717666221782565,0.055205093983274,13,0.648253478109837,0.049865652162295,0.9237562548389359
18,Plot_1GON.shp,0.645644,1GON,1,0.6456443000124027,-72.60309224142718,19.436771163788805,17.006435998584145,26.340255769713224,1GONaive,0.312893488444388,0.022349534888885,0.020939602516592,14,0.489199973642826,0.034942855260202,14,0.768222970888019,0.054873069349144,1.1898548022080604
19,Plot_2GON.shp,0.859093,2GON,1,0.8590930513487165,-72.60622120272218,19.431770712541674,29.67694753449139,34.54450887235165,2GONaive,0.090574101079255,0.005660881317453,0.00404401961714,16,0.598357005510479,0.037397312844405,16,0.74806579016149,0.046754111885093,0.87076224046636
20,Plot_3GON_p.shp,1.361225,3GON,1,1.3612247648510676,-72.60544805880386,19.44938264606967,1.0382597573766728,0.7627393977733496,3GONaive,0.221051776316017,0.008842071052641,0.007374313659966,25,0.456050620181486,0.018242024807259,25,0.352596483658999,0.01410385934636,0.2590288486983094
21,1casimir.shp,1.9310610000000001,1casimir,1,1.9310609179761502,-72.0382140704115,19.137964121494836,64.6128307644751,33.459757878686,1casimir,1.27236654050648,0.036353329728757,0.033516373485327,35,1.23068874422461,0.035162535549275,35,1.55362523440272,0.044389292411506,0.8045449110072602
22,2casimir.shp,0.824874,2Casimir,1,0.8248742764081132,-72.04016535231764,19.14405733605838,11.490612468823723,13.930137958549517,2casimir,0.248641681391746,0.016576112092783,0.013994355686009,15,0.122419929364696,0.008161328624313,15,0.234749176772311,0.015649945118154,0.2845878256678318
23,1cobana.shp,1.244768,1Cobana,1,1.2447683228282105,-72.011682204375,19.18131545918651,20.421658602633443,16.405991563340756,1Cobana,0.552304259501398,0.024013228673974,0.01623846590519,23,1.03853576933034,0.045153729101319,23,0.534479248803109,0.023238228208831,0.42938050318370136
24,2cobana.shp,0.607441,2Cobana,1,0.607441353378418,-72.00796321199043,19.185696010437834,8.249515054322979,13.580759703700606,2cobana,0.048504353966564,0.004850435396656,0.004182600416243,10,0.078798845410347,0.007879884541035,10,0.061522471136414,0.006152247113641,0.10128133488812265
25,Lerochekit.shp,0.45231400000000005,Lerochekit,1,0.45231437091847987,-72.05475182073076,19.155483823070604,17.396080340686808,38.460153953017084,Lerochekit,0.225563432089984,0.028195429011248,0.026262334547937,8,0.327045790851116,0.04088072385639,8,0.370503321290016,0.046312915161252,0.8191279011048522
26,Pandiassou.shp,0.456313,Pandiassou,1,0.45631256502295864,-72.04545192498183,19.13424531459627,37.932221289393944,83.1277159494511,Pandiassou,0.43869524076581,0.048743915640646,0.054480098187923,9,0.486186809837818,0.054020756648646,9,0.589871533215046,0.065541281468338,1.292691848591475
27,Lemer.shp,0.40135,Lemer,1,0.40135034912056494,-72.70239398268185,18.942999018153067,52.84444815265835,131.6666305846017,Lemer,0.437469381839037,0.072911563639839,0.072980780154467,6,0.480147279798985,0.080024546633164,6,0.395306646823883,0.065884441137314,0.9849415795702562
28,Marelish.shp,0.5100899999999999,Malerish,1,0.5100900843046731,-72.71883743141318,18.971666872724192,50.62749534057714,99.25206722963411,Malerish,0.421473167836666,0.046830351981852,0.045528829097748,9,0.628134790807962,0.069792754534218,9,0.462331669405103,0.051370185489456,0.9063725871780635
29,Campeche.shp,0.870332,Campeche,1,0.8703316975313621,-72.00445304953503,19.132185579703464,86.10873637624137,98.93783786168315,Campeche,0.60809887945652,0.043435634246894,0.041932454332709,14,1.15115715935826,0.082225511382733,14,1.07882156223059,0.07705868301647,1.2395521906080125
30,Lemanguier.shp,0.9246549999999999,Lemanguier,1,0.92465511620092955,-72.00001490224979,19.131481730862692,57.82187478345898,62.53345033230116,Lemanguier,0.914257138967514,0.05714107118547,0.053890783339739,16,0.714584708213806,0.044661544263363,16,1.01340335235,0.063337709521875,1.095979824903478
31,Pewpapay.shp,0.6284390000000001,Pewpapay,1,0.628438527698814,-71.99257975715311,19.143316924444502,19.961927249946413,31.764327567633444,Pewpapai,0.610228184610605,0.061022818461061,0.061423355713487,10,0.605043929070234,0.060504392907023,10,0.696121908724308,0.069612190872431,1.107700877718834
32,Pewpapay2.shp,0.891474,Pewpapay2,1,0.8914743468811925,-71.9878597859309,19.14597933924072,14.828026662682445,16.633150145663798,PewPapay2,0.591567527037114,0.03697297043982,0.03597285784781,16,0.577883336693048,0.036117708543316,16,0.400909346528351,0.025056834158022,0.44971495582674403
33,Rantnovi.shp,0.31140300000000004,Ratnovi,1,0.311402782096867,-72.12982079171644,19.13781955894581,24.44988066837929,78.51529297119043,Rantnovi,0.223495598882437,0.044699119776487,0.046684108674526,5,0.404791336506605,0.080958267301321,5,0.515370961278677,0.103074192255735,1.6549979348558366
34,Sapate.shp,0.569562,Sapate,1,0.5695620298784204,-72.00255308474203,19.10493077253476,23.530350545010073,41.313060405436254,Sapate,0.290738154668361,0.026430741333487,0.020027447491884,11,0.51169865205884,0.046518059278076,11,0.427672521211207,0.03887932011011,0.7508796211406484
35,Tecase.shp,1.1224,Tecase,1,1.1223951332541635,-72.05225685456959,19.13401749272819,11.209859857617058,9.987445174602886,tecase,0.374797306023538,0.022046900354326,0.023578658699989,17,0.608108194312081,0.035771070253652,17,0.265447413781658,0.015614553751862,0.23650085956096897
36,Pandiassou2.shp,0.660323,Pandiassou2_Namo,1,0.6603228919196369,-72.04804951493135,19.130876048141133,27.45134524976908,41.57260877320907,Pandiassou2,0.69187181442976,0.062897437675433,0.062558636069298,11,0.771886309608817,0.070171482691711,11,0.742709888145328,0.067519080740484,1.1247677420150957
