,0,1,2,3,4,5,6,7,8,9,10,11
bayawonn,buayawonn,,,,,,,,,,,
bresillet,bouziyet,bwabusiet,brissiet,breziyet,,,,,,,,
bois blanc,biosblanc,boiblanc,boisblanc,bois blac,bos blanc,bios blanc,,,,,,
bois bleu,bwa bleu,bwableu,baubleu,,,,,,,,,
bwa dom,buadom,boadon,bwa don,,,,,,,,,
bois d'homme,boisdhomme,,,,,,,,,,,
bwa doti,bwadolti,,,,,,,,,,,
jambet,yambet,,,,,,,,,,,
bwa kaka,bwacaca,,,,,,,,,,,
kapab,kapalp,,,,,,,,,,,
bois lait,boislet,,,,,,,,,,,
bwa loray,lorai,,,,,,,,,,,
bois major,mayor,,,,,,,,,,,
bwa palmis,bwa palmia,bwapalmis,,,,,,,,,,
bwa petro,bopetro,boapreta,paupreta,parpreto,,,,,,,,
bwa pini,bwapini,bwabwa pini,guapini,bwa bwa pini,,,,,,,,
poupe,pope,,,,,,,,,,,
bwa santi,bwa senti,,,,,,,,,,,
bwa savann,bwa saban,,,,,,,,,,,
savann,saban,salbann,,,,,,,,,,
bois savane,bois savanne,,,,,,,,,,,
bwa chenn,boachen,,,,,,,,,,,
dalmari,delmari,,,,,,,,,,,
delen,de lin,dele,delin,,,,,,,,,
madlenn,madeleine,,,,,,,,,,,
divi divi,divi,,,,,,,,,,,
kaliptis,eucaliptos,eucalypto,eucalipto,,,,,,,,,
figye,fieuier,ficus,,,,,,,,,,
flambwayan,framboyan,,,,,,,,,,,
fwenn,fruen,fuen,,,,,,,,,,
frene,fren,,,,,,,,,,,
gommier,gombier,gomier,,,,,,,,,,
gwayav,guayaba,,,,,,,,,,,
gwenn,guen,,,,,,,,,,,
kachiman,kashima,kashuma,,,,,,,,,,
cachiman,cachimem,cachemam,cachimam,,,,,,,,,
calebasse,calabase,calbesse,calbasse,,,,,,,,,
acajou,acayu,acayou,,,,,,,,,,
casse,cass,,,,,,,,,,,
cassia,casseia,,,,,,,,,,,
kaymit,cawimite,cayimit,kaymite,camite,,,,,,,,
kenep,queneb,kuinip,quinipi,,,,,,,,,
kokoye,coco,,,,,,,,,,,
koma,bwa koma,lakoma,,,,,,,,,,
corossol,corosol,corosole,corolosol,collossol,corosore,corosorole,,,,,,
latanye,latanie,latani,latenier,letanier,,,,,,,,
lorie,lo rieue,loreiue,,,,,,,,,,
madam yas,madame jass,,,,,,,,,,,
magerit,magritte,,,,,,,,,,,
mango,mnago,mangos,mamgo,,,,,,,,,
monben,mombe,momber,monbein,monbin,momben,monbenr,,,,,,
papay,papaya,,,,,,,,,,,
pendoula,pandola,,,,,,,,,,,
pistach,pistache,,,,,,,,,,,
piyon,piyong,,,,,,,,,,,
risin,arisin,,,,,,,,,,,
satanye,saiteyen,santayet,santeyet,santyet,satanyet,satayet,,,,,,
cedre,cede,,,,,,,,,,,
sikren,sicre,sikre,sakrin,sacrin,,,,,,,,
citron,citroin,,,,,,,,,,,
tamarenn,tamarindo,tamarin,,,,,,,,,,
tcha tcha,chacha,bwachacha,,,,,,,,,,
twompet,trompete,,,,,,,,,,,
twa pawol,twa parol,twa palol,,,,,,,,,,
zaboka,aguacates,aguacate,,,,,,,,,,
acacia,acassia,,,,,,,,,,,
zamann,zanmann,,,,,,,,,,,
zoranj dous,naranja,naranaja,,,,,,,,,,
limon frans,limon,,,,,,,,,,,
,1,2,3,4,aaa,bbb,crickcrack,kkk,kambala,tambala,wichinpit,z
