Name,Area_ha,Shape_Leng,Shape_Area,2007_count,2007_sum,2007_mean,2007_stdev,plot_no
Pewpapai,0.62843900000,322.35088378400,6284.38527699000,10,0.579956490546465,0.057995649054646,0.00935065690347,"31"
Campeche,0.87033200000,402.42323566900,8703.31697531000,14,0.635961167514324,0.045425797679595,0.0080661297939,"29"
1casimir,1.93106000000,554.63713461000,19310.60917980000,35,1.15078326687217,0.032879521910633,0.002104758000669,"21"
2casimir,0.82487400000,374.79812772900,8248.74276408000,15,0.23088987916708,0.015392658611139,0.002985752550265,"22"
1Cobana,1.24477000000,463.32365877900,12447.68322830000,23,0.600894272327423,0.026125837927279,0.005836010131298,"23"
2cobana,0.60744100000,312.10195942900,6074.41353378000,10,0.102320595644414,0.010232059564441,0.001698006266827,"24"
Lemanguier,0.92465500000,405.54726238900,9246.55116201000,16,0.835365474224091,0.052210342139006,0.001997959361405,"30"
Lerochekit,0.45231400000,286.33275032600,4523.14370918000,8,0.254775362089276,0.03184692026116,0.005929185075046,"25"
Pandiassou,0.45631300000,282.01418369200,4563.12565023000,9,0.43792213127017,0.048658014585574,0.00256384589239,"26"
Pandiassou2,0.66032300000,320.83525896500,6603.22891920000,11,0.721434030681849,0.065584911880168,0.006151946685755,"36"
PewPapay2,0.89147400000,384.02247670900,8914.74346881000,16,0.431883622892201,0.026992726430763,0.009349405382557,"32"
Rantnovi,0.31140300000,225.93637866400,3114.02782097000,5,0.213607832789421,0.042721566557884,0.00588760893337,"33"
Sapate,0.56956200000,305.51945717600,5695.62029878000,11,0.317691791802645,0.028881071982059,0.001870323366673,"34"
tecase,1.12240000000,427.49760452700,11223.95133250000,17,0.250189138576388,0.014717008151552,0.003121010704618,"35"
Bombardopolis1,0.75718200000,391.69830116800,7571.81793773000,13,0.249338233843446,0.019179864141804,0.001060403895034,"10"
Bombardopolis2,0.35579400000,332.13794600400,3557.94360320000,8,0.203372711315751,0.025421588914469,0.002471507899446,"11"
Augier,2.50331000000,679.56327750400,25033.13789610000,42,1.68039960972965,0.040009514517373,0.007827513753461,"9"
Lemer,0.40135000000,278.24537780100,4013.50349121000,6,0.322052787989378,0.053675464664896,0.004058279412807,"27"
1cuyo,0.90416300000,430.02145755700,9041.63164141000,16,0.564144099131227,0.035259006195702,0.008744948843117,"12"
2cuyo2,1.06143000000,411.96847064600,10614.28142530000,20,0.720000177621841,0.036000008881092,0.007260582175634,"13"
2GONaive,0.85909300000,386.09447402600,8590.93051349000,16,0.313758578151464,0.019609911134467,0.005276746259943,"19"
3GONaive,1.36122000000,490.81359919700,13612.24764850000,25,0.325158373452723,0.013006334938109,0.001829775165496,"20"
1GONaive,0.64564400000,331.85998511000,6456.44300012000,14,0.239891265518963,0.017135090394212,0.001111357998556,"18"
Decameron,0.54558200000,308.36980791700,5455.81816312000,9,0.439402837306261,0.048822537478473,0.007177500725809,"14"
2Deluger,0.79733500000,366.70339531300,7973.35054089000,14,0.344315419904888,0.024593958564635,0.008307545146731,"16"
Deluge,2.00247000000,571.56964216800,20024.74007530000,35,1.6302057094872,0.046577305985349,0.004839846848888,"15"
3Deluger,0.70175800000,453.72395990900,7017.58147470000,13,0.420928021892905,0.032379078607147,0.00120453956012,"17"
Malerish,0.51009000000,295.34120183800,5100.90084305000,9,0.354422681033611,0.039380297892623,0.001661181184044,"28"
